Watershed,River Mile,Site ID,Site Name,Sample Date,Entero. Count,Day of Rain (in.),Prior Day,2 Days Prior,3 Days Prior,Weather Station,Lab,Sample Type,Sample Order,Fluorescence,Comments ,Dilution ,QA Qualifier,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,5/30/13 9:13,187,0,0,0.52,0,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,9/25/14 16:45,195,0.32,0,0,0,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,6/6/13 9:57,199,0.13,0,0,0.87,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,8/30/18 8:30,199,0,0,0,0,KNYMOUNT30,CURB,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,7/18/13 9:15,201,0,0,0,0,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,10/3/13 10:35,201,0,0,0,0,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,10/11/18 8:10,218,0,0,0.01,0.04,KNYMOUNT30,CURB,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,8/8/13 9:00,241,0.46,0,0,0,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,8/10/17 9:40,241,0,0,0,0.76,KNYC,CURB,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,8/29/13 8:47,294,0,0.43,0.01,0.04,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,8/15/13 8:13,305,0,0,0.85,0.05,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,7/5/18 8:00,350,0,0,0.07,0,KNYMOUNT30,CURB,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,7/19/18 8:00,350,0,0,1.24,0,KNYMOUNT30,CURB,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,8/16/18 8:30,457,0,0,0.02,0.79,KNYMOUNT30,CURB,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,7/10/14 13:50,459,0,0.09,0.39,0.04,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,9/26/13 8:45,495,0,0,0,0,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,9/19/13 8:44,497,0,0,0,0.03,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,9/13/18 8:00,503,0.05,0.08,0.04,1.96,KNYMOUNT30,CURB,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,6/20/13 6:54,645,0,0.01,0.19,0.01,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,9/7/17 7:55,683,0.06,0.45,0.07,0,KNYMOUNT30,CURB,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,7/11/13 8:51,749,0,0,0.23,0.22,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,6/13/13 9:36,784,1.26,0,0.09,1.38,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,7/17/14 9:10,933,0,0,1.3,0.46,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,8/14/14 9:30,1112,0,0.53,0.19,0,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,7/24/14 9:05,1187,0,0.19,0,0,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,8/22/13 9:45,1918,0.25,0,0,0,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,9/27/18 8:30,2142,0,0.08,4.59,0,KNYMOUNT30,CURB,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,6/27/13 9:28,3968,0.24,0.05,0,0,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,6/5/14 12:00,4611,0.87,0,0.12,0,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,8/2/18 8:15,9208,0,0.56,0,0,KNYMOUNT30,CURB,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,7/2/13 9:00,>24196,0.08,0.84,0,0,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,2.96,BR-2.96,BR-SWS-11 / Bronx- River Park at 182nd Street,6/15/17 9:07,109,0,0.29,0,0,KNYC,CURB,Watershed,Main Stem,,,,,,,,,
Bronx,2.96,BR-2.96,BR-SWS-11 / Bronx- River Park at 182nd Street,7/13/17 8:00,173,0,0,0,0,KNYNEWYO111,CURB,Watershed,Main Stem,,,,,,,,,
Bronx,2.96,BR-2.96,BR-SWS-11 / Bronx- River Park at 182nd Street,8/10/17 8:20,158,0,0,0,0.67,KNYNEWYO111,CURB,Watershed,Main Stem,,,,,,,,,
